Contacted?,Result?,County,School,Entity Type,Website,Phone,Phone Extension,Email,Administrator Name,Administrator Phone,Administrator Phone Ext.,PTO Contact Name,PTO Contact Number,PTO Contact Email,Notes
FALSE,,Alameda,Encinal Junior/Senior High,K-12 Schools (Public),https://encinal.alamedaunified.org/,(510) 748-4023,No Data,ksnyder@alamedaunified.org,Kirstin Snyder,(510) 748-4023,No Data,,,,
FALSE,,Alameda,EnCompass Four Corners School,Elementary School (Private),www.encompass4corners.org,(510) 735-1501,No Data,nps@cde.ca.gov,Monique Brinson,No Data,No Data,,,,
FALSE,,Alameda,Frank Otis Elementary,Elementary Schools (Public),https://otis.alamedaunified.org/,(510) 748-4013,No Data,bdodson@alamedaunified.org,Brian Dodson,(510) 748-4013,No Data,,,,
FALSE,,Alameda,Franklin Elementary,Elementary Schools (Public),https://franklin.alamedaunified.org/,(510) 748-4004,No Data,lchirrick@alamedaunified.org,Lynnette Chirrick,No Data,No Data,,,,
FALSE,,Alameda,Island High (Continuation),Continuation High Schools,https://island.alamedaunified.org/,(510) 748-4024,No Data,jmelgoza@alamedaunified.org,Jorge Melgoza,(510) 748-4024,101,,,,
FALSE,,Alameda,Kids Elite,Elementary School (Private),No Data,(510) 646-7699,No Data,nps@cde.ca.gov,Ichun Chen,No Data,No Data,,,,
FALSE,,Alameda,Lincoln Middle,Intermediate/Middle Schools (Public),https://lincoln.alamedaunified.org/,(510) 748-4018,No Data,ssathewarner@alamedaunified.org,Sheila SatheWarner,(510) 748-4018,No Data,,,,
FALSE,,Alameda,Love Elementary,Elementary Schools (Public),https://love.alamedaunified.org/,(510) 748-4005,No Data,tlagdamen@alamedaunified.org,Tina Lagdamen,(510) 748-4005,No Data,,,,
FALSE,,Alameda,Maya Lin,Elementary Schools (Public),https://mayalin.alamedaunified.org/,(510) 748-4007,No Data,kringewald@alamedaunified.org,Karen Ringewald,(510) 748-4007,No Data,,,,
FALSE,,Alameda,Nea Community Learning Center,K-12 Schools (Public),www.clcschools.org,(510) 748-4008,No Data,annalisa.moore@clcschools.org,Annalisa Moore,No Data,No Data,,,,
FALSE,,Alameda,Ruby Bridges Elementary,Elementary Schools (Public),https://rubybridges.alamedaunified.org/,(510) 748-4006,No Data,,Juan Flores,(510) 748-4006,6700,,,,
FALSE,,Alameda,Saint Joseph Notre Dame High School,High Schools (Private),www.sjnd.org,(510) 523-1526,No Data,skim@sjnd.org,No Data,No Data,No Data,,,,
FALSE,,Alameda,St. Joseph Elementary,Elementary School (Private),www.stjosephalameda.org,(510) 522-4456,No Data,dcolvert@csdo.org,Danielle Colvert,No Data,No Data,,,,
FALSE,,Alameda,St. Philip Neri Elementary,Elementary School (Private),www.spnalameda.org,(510) 521-0787,No Data,mbravo@csdo.org,Julie Thomas,No Data,No Data,,,,
FALSE,,Alameda,The Academy of Alameda,Elementary Schools (Public),http://aoaschools.org/,(510) 748-4017,No Data,despinosa@aoaschools.org,Christine Chilcott,(510) 748-4017,No Data,,,,
FALSE,,Alameda,The Child Unique Montessori School/Montessori Elementary School of Alameda,Elementary School (Private),montessorielementaryalameda.org,(510) 521-0595,No Data,cindy.acker@thechildunique.org,Cindy Acker,No Data,No Data,,,,
FALSE,,Alameda,The Phillips Academy,Ungraded Schools (Private),www.thephillipsacademy.org,(510) 769-7100,No Data,jwong@thephillipsacademy.org,Allan Chatman,No Data,No Data,,,,
FALSE,,Alameda,Will C. Wood Middle,Intermediate/Middle Schools (Public),https://wood.alamedaunified.org/,(510) 748-4015,No Data,jlucio@alamedaunified.org,Jessica Lucio,(510) 748-4015,No Data,,,,
FALSE,,Alameda,William G. Paden Elementary,Elementary Schools (Public),https://paden.alamedaunified.org/,(510) 748-4014,No Data,tringuyen@alamedaunified.org,Tri Nguyen,(510) 748-4014,14700,,,,
FALSE,,Alameda,Albany High,High Schools (Public),https://ahs.ausdk12.org/,(510) 558-2500,No Data,dmcnally@ausdk12.org,Darren McNally,(510) 558-2500,No Data,,,,
FALSE,,Alameda,Albany Middle,Intermediate/Middle Schools (Public),https://ams.ausdk12.org/,(510) 558-3600,No Data,emapes@ausdk12.org,Eric Mapes,(510) 558-3600,No Data,,,,
FALSE,,Alameda,Cornell Elementary,Elementary Schools (Public),https://cornell.ausdk12.org/,(510) 558-3700,No Data,cfloresca@ausdk12.org,Catherine Floresca,No Data,No Data,,,,
FALSE,,Alameda,MacGregor High (Continuation),Continuation High Schools,https://mac.ausdk12.org/,(510) 559-6570,No Data,dmcnally@ausdk12.org,Daren McNally,(510) 558-3570,2604,,,,
FALSE,,Alameda,Marin Elementary,Elementary Schools (Public),https://marin.ausdk12.org/,(510) 559-4700,No Data,mpfohl@ausdk12.org,Melisa Pfohl,No Data,No Data,,,,
FALSE,,Alameda,Ocean View Elementary,Elementary Schools (Public),https://ov.ausdk12.org/,(510) 558-4800,No Data,adelgado@ausdk12.org,Ana Delgado,No Data,No Data,,,,
FALSE,,Alameda,Tilden Preparatory School,K-12 Schools (Private),tildenprep.com,(510) 525-5506,No Data,janem@tildenprep.com,Laurie Kumar,No Data,No Data,,,,
FALSE,,Alameda,American International Montessori School,Elementary School (Private),No Data,(510) 868-1815,No Data,office@aimmontessori.com,Ernest Mahr,No Data,No Data,,,,
FALSE,,Alameda,Bayhill High,High Schools (Private),www.bayhillhs.org,(510) 984-0599,No Data,austin@bayhillhs.org,Donna Austin,No Data,No Data,,,,
FALSE,,Alameda,Berkeley Adult,Adult Education Centers,www.bas.berkeley.net,(510) 644-6130,No Data,thomasreid@berkeley.net,Thomas Reid,(510) 644-6130,No Data,,,,
FALSE,,Alameda,Berkeley Arts Magnet at Whittier,Elementary Schools (Public),No Data,(510) 644-6225,No Data,renemolina@berkeley.net,Rene Molina,(510) 644-6225,No Data,,,,
FALSE,,Alameda,Berkeley High,High Schools (Public),http://bhs.berkeleyschools.net/,(510) 644-6120,No Data,juanraygoza@berkeley.net,Juan Raygoza,(510) 644-4803,No Data,,,,
FALSE,,Alameda,Berkeley Independent Study K-8,Alternative Schools of Choice,http://berkeleyindependentstudy.wordpress.com/,(510) 644-6159,No Data,bis@berkeley.net,Vincent Toan,(510) 644-6159,No Data,,,,
FALSE,,Alameda,Berkeley Rose Waldorf School,Elementary School (Private),www.berkeleyrose.org,(510) 859-7679,No Data,office@berkeleyrose.org,Rachael Flug,No Data,No Data,,,,
FALSE,,Alameda,Berkeley Special Education Preschool,Preschool,www.berkeley.net,(510) 644-6120,No Data,shawnmansager@berkeley.net,Shawn Mansager,(510) 644-6210,No Data,,,,
FALSE,,Alameda,Berkeley Technology Academy,Continuation High Schools,No Data,(510) 644-6159,No Data,vincenttoan@berkeley.net,Vincent Toan,(510) 644-6159,No Data,,,,
FALSE,,Alameda,Berkwood Hedge School,Elementary School (Private),www.berkwood.org,(510) 883-6990,No Data,operatiojns@berkwood.org,Jules Davtyan,No Data,No Data,,,,
FALSE,,Alameda,Black Pine Circle School,Elementary School (Private),www.blackpinecircle.org,(510) 845-0876,No Data,mbartholomew@blackpinecircle.org,Jase Turner,No Data,No Data,,,,
FALSE,,Alameda,Center for Early Intervention on Deafness (CEID),Elementary School (Private),www.ceid.org,(510) 848-4800,302,nps@cde.ca.gov,Cindy Dickeson,(510) 848-4800,301,,,,
FALSE,,Alameda,Cragmont Elementary,Elementary Schools (Public),No Data,(510) 644-8810,No Data,rachelporzig@berkeley.net,Rachel Porzig,(510) 644-8810,No Data,,,,
FALSE,,Alameda,Crowden School,Elementary School (Private),https://www.crowden.org/school/,(510) 559-6910,No Data,info@crowden.org,Dan Meyers,No Data,No Data,,,,
FALSE,,Alameda,Ecole Bilingue De Berkeley,Elementary School (Private),www.eb.org,(510) 809-0602,No Data,hosoffice@eb.org,No Data,No Data,No Data,,,,
FALSE,,Alameda,Emerge Berkeley Christian Academy,Elementary School (Private),emergebca.org,(510) 717-8628,No Data,nps@cde.ca.gov,Shermika Harvey,No Data,No Data,,,,
FALSE,,Alameda,Emerson Elementary,Elementary Schools (Public),No Data,(510) 644-6890,No Data,janaholmes@berkeley.net,Jana Holmes,No Data,No Data,,,,
FALSE,,Alameda,Fusion Academy Berkeley,K-12 Schools (Private),https://www.fusionacademy.com/campuses/berkeley/,(510) 292-4104,No Data,jpineda@fusionacademy.com,Julie Pineda,No Data,No Data,,,,
FALSE,,Alameda,John Muir Elementary,Elementary Schools (Public),No Data,(510) 644-6410,No Data,jeremyfurlan@berkeley.net,Jeremy Furlan,No Data,No Data,,,,
FALSE,,Alameda,Longfellow Arts and Technology Middle,Intermediate/Middle Schools (Public),No Data,(510) 644-6360,No Data,salitamitchell@berkeley.net,Salita Mitchell,No Data,No Data,,,,
FALSE,,Alameda,Malcolm X Elementary,Elementary Schools (Public),No Data,(510) 644-6313,No Data,alexhunt@berkeley.net,Alex Hunt,(510) 644-6313,No Data,,,,
FALSE,,Alameda,Martin Luther King Middle,Intermediate/Middle Schools (Public),No Data,(510) 644-6280,No Data,michaeltisonyee@berkeley.net,Michael Tison Yee,(510) 644-6280,No Data,,,,
FALSE,,Alameda,MarWell,K-12 Schools (Private),No Data,Information Redacted,No Data,marwellmethod@gmail.com,Marcella Wasson,No Data,No Data,,,,
FALSE,,Alameda,Maybeck High School,High Schools (Private),www.maybeckhs.org,(510) 841-8489,No Data,annec@maybeckhs.org,Ranjana Zunino,No Data,No Data,,,,
FALSE,,Alameda,Oxford Elementary at West Campus,Elementary Schools (Public),No Data,(510) 644-6300,No Data,elizabethcornwell@berkeley.net,Elizabeth Cornwell,(510) 644-6300,No Data,,,,
FALSE,,Alameda,Rosa Parks Environmental Science,Elementary Schools (Public),No Data,(510) 644-8812,No Data,holenrobie@berkeley.net,Holen Robie,No Data,No Data,,,,
FALSE,,Alameda,Ruth Acty Elementary,Elementary Schools (Public),No Data,(510) 644-6298,No Data,marycazden@berkeley.net,Mary Cazden,(510) 644-6298,No Data,,,,
FALSE,,Alameda,Saint Mary's College High School,High Schools (Private),www.saintmaryschs.org,(510) 526-9242,No Data,pimperial@stmchs.org,Peter Imperial,No Data,No Data,,,,
FALSE,,Alameda,School of the Madeleine,Elementary School (Private),www.themadeleine.com,(510) 526-4744,No Data,madmary@themadeleine.com,Joseph Nagel,No Data,No Data,,,,
FALSE,,Alameda,Shu Ren International School,Elementary School (Private),https://shurenschool.com/,(510) 841-8899,No Data,lyan@shurenschool.org,Luxia Yan,No Data,No Data,,,,
FALSE,,Alameda,Sylvia Mendez Elementary,Elementary Schools (Public),No Data,(510) 644-6290,No Data,mariacarriedo@berkeley.net,Maria Carriedo,(510) 644-6209,No Data,,,,
FALSE,,Alameda,The Academy School,Elementary School (Private),theacademyschool.org,(510) 549-0605,No Data,nps@cde.ca.gov,Cecee Penney,No Data,No Data,,,,
FALSE,,Alameda,The Berkeley School,Elementary School (Private),https://www.theberkeleyschool.org/,(510) 665-8800,No Data,ewilks@theberkeleyschool.org,Elise Wilks,No Data,No Data,,,,
FALSE,,Alameda,Thousand Oaks Elementary,Elementary Schools (Public),No Data,(510) 644-6368,No Data,gabrielfredman@berkeley.net,Gabriel Fredman,(510) 644-6368,No Data,,,,
FALSE,,Alameda,Via Center,Ungraded Schools (Private),www.viacenter.org,(510) 848-1616,No Data,nps@cde.ca.gov,staci roberts,No Data,No Data,,,,
FALSE,,Alameda,Walden Center & School,Elementary School (Private),https://waldencenterschool.org/,(510) 841-7248,No Data,nps@cde.ca.gov,Joline Barsanti,No Data,No Data,,,,
FALSE,,Alameda,Washington Elementary,Elementary Schools (Public),No Data,(510) 644-6310,No Data,,Joshua Heideman,(510) 644-6310,No Data,,,,
FALSE,,Alameda,Willard Middle,Intermediate/Middle Schools (Public),No Data,(510) 644-6330,No Data,laurieclark@berkeley.net,Laurie Clark,(510) 644-6330,No Data,,,,
FALSE,,Alameda,California School for the Blind,State Special Schools,www.csb-cde.ca.gov/,(510) 794-3800,No Data,info@csb-cde.ca.gov,Shannon Johns,(510) 936-5523,No Data,,,,
FALSE,,Alameda,California School for the Deaf-Fremont,State Special Schools,www.csdeagles.com,(510) 794-3666,No Data,shong@csdf-cde.ca.gov,Sulghi Hong,(510) 344-6097,No Data,,,,
FALSE,,Alameda,Alma Preschool,Preschool,www.cv.k12.ca.us,(510) 537-3000,1200,jtomita@cv.k12.ca.us,Jennifer Tomita,No Data,No Data,,,,
FALSE,,Alameda,Canyon Middle,Intermediate/Middle Schools (Public),No Data,(510) 538-8833,No Data,shendee@cv.k12.ca.us,Steven Hendee,(510) 538-8833,No Data,,,,
FALSE,,Alameda,Castro Valley Adult and Career Education,Adult Education Centers,www.cvadult.org,(510) 886-1000,No Data,bcutter@cv.k12.ca.us,Beth Cutter,(510) 886-1000,No Data,,,,
FALSE,,Alameda,Castro Valley Elementary,Elementary Schools (Public),No Data,(510) 537-1919,No Data,econtreras@cv.k12.ca.us,Elizabeth Contreras,(510) 537-1919,No Data,,,,
FALSE,,Alameda,Castro Valley High,High Schools (Public),No Data,(510) 537-5910,No Data,cfortenberry@cv.k12.ca.us,Christopher Fortenberry,(510) 537-5910,No Data,,,,
FALSE,,Alameda,Castro Valley Virtual Academy,K-12 Schools (Public),www.cv.k12.ca.us,(510) 537-3193,No Data,jreimann@cv.k12.ca.us,Kenneth Kahn,(510) 537-3193,No Data,,,,
FALSE,,Alameda,Chabot Elementary,Elementary Schools (Public),No Data,(510) 537-2342,No Data,dhosseini@cv.k12.ca.us,Delnaz Hosseini,No Data,No Data,,,,
FALSE,,Alameda,Creekside Middle,Intermediate/Middle Schools (Public),No Data,(510) 247-0665,No Data,sshih@cv.k12.ca.us,Susan Shih,No Data,No Data,,,,
FALSE,,Alameda,Independent Elementary,Elementary Schools (Public),No Data,(510) 537-9558,No Data,phansenschmitt@cv.k12.ca.us,Patrick Hansen-Schmitt,(510) 537-9558,4861,,,,
FALSE,,Alameda,Jensen Ranch Elementary,Elementary Schools (Public),No Data,(510) 537-6365,No Data,lgarcia@cv.k12.ca.us,Lisa MacLean,(510) 537-6355,4951,,,,
FALSE,,Alameda,Marshall Elementary,Elementary Schools (Public),No Data,(510) 537-2431,No Data,mguzman@cv.k12.ca.us,Mistee Guzman,(510) 537-2431,No Data,,,,
FALSE,,Alameda,OneSchool Global - San Francisco,K-12 Schools (Private),www.oneschoolglobal.com,(510) 247-9235,No Data,jacqueline.holt@na.oneschoolglobal.com,Kelle Patrick,No Data,No Data,,,,
FALSE,,Alameda,Our Lady of Grace School,Elementary School (Private),olgschool.org,(510) 581-3155,No Data,ecastaing@csdo.org,Gena McGowan,No Data,No Data,,,,
FALSE,,Alameda,Palomares Elementary,Elementary Schools (Public),No Data,(510) 582-4207,No Data,jtomita@cv.k12.ca.us,Jennifer Tomita,No Data,No Data,,,,
FALSE,,Alameda,Proctor Elementary,Elementary Schools (Public),No Data,(510) 537-0630,No Data,dmartin@cv.k12.ca.us,Darlene Martin,(510) 537-0630,4552,,,,
FALSE,,Alameda,Redwood Christian Elementary,Elementary School (Private),www.rcs.edu,(510) 537-4288,No Data,deborahfosdahl@rcs.edu,Megan Sinisi,No Data,No Data,,,,
FALSE,,Alameda,Redwood Continuation High,Continuation High Schools,No Data,(510) 537-3193,No Data,kkahn@cv.k12.ca.us,Kenneth Kahn,(510) 537-3193,No Data,,,,
FALSE,,Alameda,Roy A. Johnson High,Special Education Schools (Public),No Data,(510) 537-3000,1311,kkahn@cv.k12.ca.us,Kenneth Kahn,(510) 537-3193,No Data,,,,
FALSE,,Alameda,Stanton Elementary,Elementary Schools (Public),No Data,(510) 727-9192,No Data,gfaria@cv.k12.ca.us,Gina Faria,No Data,No Data,,,,
FALSE,,Alameda,Vannoy Elementary,Elementary Schools (Public),No Data,(510) 537-1832,No Data,svillasenor@cv.k12.ca.us,Soraya Villasenor,(510) 537-1832,No Data,,,,
FALSE,,Alameda,Brave Christian Elementary School,Elementary School (Private),www.bravechristian.org,(925) 560-6270,No Data,acoackley@bravechristian.org,Larry Lopez,No Data,No Data,,,,
FALSE,,Alameda,Brave Christian Middle / High School,K-12 Schools (Private),www.bravechristian.org,(925) 560-6240,No Data,acoackley@bravechristian.org,Larry Lopez,No Data,No Data,,,,
FALSE,,Alameda,Cottonwood Creek,Elementary Schools (Public),www.dublin.k12.ca.us/,(925) 833-3333,6900,dykzeultheo@dublinusd.org,Theo Dykzeul,(925) 833-3333,No Data,,,,
FALSE,,Alameda,Dublin Adult Education,Adult Education Centers,www.dublinusd.org,(925) 829-4322,7921,brancabill@dublinusd.org,Bill Branca,(925) 829-4322,No Data,,,,
FALSE,,Alameda,Dublin Elementary,Elementary Schools (Public),www.dublinusd.org,(925) 833-1204,5005,mcgovernlauren@dublinusd.org,Lauren McGovern,(925) 833-1204,5001,,,,
FALSE,,Alameda,Dublin High,High Schools (Public),www.dublinusd.org,(925) 833-3300,7005,byrnemaureen@dublinusd.org,Maureen Byrne,(925) 833-3300,7005,,,,
FALSE,,Alameda,Dublin Unified Preschool,Preschool,www.dublin.k12.ca.us,(925) 828-2551,8019,ironsidecaren@dublinusd.org,Lauren McGovern,(925) 833-1204,5001,,,,
FALSE,,Alameda,Dublin Unified Transition Program,Special Education Schools (Public),www.dublin.k12.ca.us,(925) 828-2551,No Data,ironsidecaren@dublinusd.org,Bill Branca,(925) 307-1910,No Data,,,,
FALSE,,Alameda,Eleanor Murray Fallon,Intermediate/Middle Schools (Public),www.dublinusd.org,(925) 875-9376,6305,nelsonmark@dublinusd.org,Candice Baligaya,(925) 875-9376,No Data,,,,
FALSE,,Alameda,Emerald High,High Schools (Public),http://ehs.dublinusd.org,(925) 551-4040,No Data,velezlenni@dublinusd.org,Lenni Velez,(925) 551-4040,No Data,,,,
FALSE,,Alameda,Frederiksen Elementary,Elementary Schools (Public),www.dublinusd.org,(925) 828-1037,5205,brittenmatthew@dublinusd.org,Matthew Britten,(925) 828-1037,No Data,,,,
FALSE,,Alameda,Harold William Kolb,Elementary Schools (Public),www.dublinusd.org,(925) 551-4000,6805,leeclara@dublinusd.org,Clara Lee,(925) 551-4000,6801,,,,
FALSE,,Alameda,J. M. Amador Elementary,Elementary Schools (Public),www.dublinusd.org,(925) 307-1950,6705,chalfantchristy@dublinusd.org,Christy Chalfant,(925) 307-1950,No Data,,,,
FALSE,,Alameda,James Dougherty Elementary,Elementary Schools (Public),www.dublinusd.org,(925) 803-4444,5805,gilbertnisha@dublinusd.org,Nisha Gilbert,No Data,No Data,,,,
FALSE,,Alameda,John Green Elementary,Elementary Schools (Public),www.dublinusd.org,(925) 833-4200,6605,trotterjoyce@dublinusd.org,Joyce Trotter,(925) 833-4200,No Data,,,,
FALSE,,Alameda,Murray Elementary,Elementary Schools (Public),www.dublinusd.org,(925) 828-2568,5405,witczakelizabeth@dublinusd.org,Elizabeth Witczak,(925) 828-2568,5401,,,,
FALSE,,Alameda,Shamrock Hills K-8,Elementary Schools (Public),http://dublinusd.org,(925) 828-2551,No Data,magillerin@dublinusd.org,Erin Magill,(925) 828-2551,No Data,,,,
FALSE,,Alameda,St. Raymond,Elementary School (Private),https://www.straymondschool.org/,(925) 828-7420,No Data,nps@cde.ca.gov,Gregory Peterson,No Data,No Data,,,,
FALSE,,Alameda,Stratford School Dublin,Elementary School (Private),https://www.stratfordschools.com/schools/northern-california/east-bay/dublin/,(925) 399-1971,No Data,nps@cde.ca.gov,Najmus Huda,No Data,No Data,,,,
FALSE,,Alameda,The Quarry Lane School,Elementary School (Private),www.quarrylaneschool.org,(925) 829-8000,No Data,ccavanna@quarrylane.org,Sabri Arac,No Data,No Data,,,,
FALSE,,Alameda,Valley High (Continuation),Continuation High Schools,www.dublinusd.org,(925) 829-4322,7905,nickljennifer@dublinusd.org,Jennifer Nickl,(925) 833-3300,No Data,,,,
FALSE,,Alameda,Wells Middle,Intermediate/Middle Schools (Public),www.dublinusd.org,(925) 828-6227,6005,macdonaldmonica@dublinusd.org,Monica Macdonald,(925) 828-6227,No Data,,,,
FALSE,,Alameda,York Alternative Learning Center,Alternative Schools of Choice,No Data,(925) 307-1960,6910,nickljennifer@dublinusd.org,Jennifer Nickl,No Data,No Data,,,,
FALSE,,Alameda,Eden Area ROP,ROC/ROP,www.edenrop.org,(510) 293-2900,No Data,irenef@edenrop.org,Blaine Torpey,No Data,No Data,,,,
FALSE,,Alameda,Anna Yates Elementary,Elementary Schools (Public),No Data,(510) 601-4916,No Data,anthony.animuntu@emeryusd.k12.ca.us,Anthony Animuntu,No Data,No Data,,,,
FALSE,,Alameda,East Bay German International School,Elementary School (Private),www.ebgis.org,(510) 380-0300,No Data,nps@cde.ca.gov,Kaylene Rudd,No Data,No Data,,,,
FALSE,,Alameda,Emery Secondary,High Schools (Public),No Data,(510) 601-4998,No Data,kibby.kleiman@emeryusd.org,Kibby Kleiman,(510) 601-4961,No Data,,,,
FALSE,,Alameda,Emeryville Preschool Students,Preschool,www.emeryusd.k12.ca.us,(510) 601-4000,No Data,deanna.yasaki@emeryusd.org,Deanna Yasaki,(510) 601-4000,No Data,,,,
FALSE,,Alameda,Escuela Bilingüe Internacional,Elementary School (Private),www.ebinternacional.org,(510) 652-7094,No Data,nps@cde.ca.gov,Ben Griggs,No Data,No Data,,,,
FALSE,,Alameda,Alsion Montessori Middle/High,K-12 Schools (Private),www.alsionschool.org,(510) 445-1127,No Data,mrjoey@alsionschool.org,Joey Morrison,No Data,No Data,,,,
FALSE,,Alameda,American High,High Schools (Public),https://fremontunified.org/american/,(510) 796-1776,No Data,ssharma@fusdk12.net,Sandhya Sharma,(510) 796-1776,57210,,,,
FALSE,,Alameda,Ardenwood Elementary,Elementary Schools (Public),https://fremontunified.org/ardenwood/,(510) 794-0392,No Data,gmason@fusdk12.net,Glynis Mason,(510) 794-0392,51400,,,,
FALSE,,Alameda,Averroes High School,High Schools (Private),https://www.averroeshighschool.com/,(510) 580-4566,No Data,info@averroesinstitute.com,Faheem Rivers,No Data,No Data,,,,
FALSE,,Alameda,BASIS Independent Fremont,Elementary School (Private),fremont.basisindependent.com,(510) 573-3435,No Data,kaleb.wagoner@basisindependent.com,Josiah Wagoner,No Data,No Data,,,,
FALSE,,Alameda,BASIS Independent Fremont Upper School,K-12 Schools (Private),https://fremont.basisindependent.com/,(510) 738-6003,No Data,nps@cde.ca.gov,Bhakti Vanzara,No Data,No Data,,,,
FALSE,,Alameda,Benjamites Academy,Elementary School (Private),No Data,Information Redacted,No Data,nps@cde.ca.gov,Shannon Benjamin,No Data,No Data,,,,
FALSE,,Alameda,Brier Elementary,Elementary Schools (Public),https://fremontunified.org/brier/,(510) 657-5020,No Data,tpachote@fusdk12.net,Tammy Pachote,(510) 657-5020,23103,,,,
FALSE,,Alameda,Brookvale Elementary,Elementary Schools (Public),https://fremontunified.org/brookvale/,(510) 797-5940,No Data,melliott@fusdk12.net,Malinda Elliott,(510) 797-5940,52008,,,,
